"id","alias","valid_from_date","valid_to_date","nameset_id","hierarchy_name_id","admin_level","alias_dot_name","last_upddate","last_userid","message","parent_id"
NA,"el oued",NA,NA,9,289962,1,"africa:alg:el oued",NA,"kmccarthy",NA,288700
NA,"el tarf",NA,NA,9,289953,1,"africa:alg:el tarf",NA,"kmccarthy",NA,288700
NA,"oum el bouaghi",NA,NA,9,289988,1,"africa:alg:oum el bouaghi",NA,"kmccarthy",NA,288700
NA,"sidi bel abbes",NA,NA,9,289996,1,"africa:alg:sidi bel abbes",NA,"kmccarthy",NA,288700
NA,"souk ahras",NA,NA,9,290002,1,"africa:alg:souk ahras",NA,"kmccarthy",NA,288700
NA,"tizi ouzou",NA,NA,9,289997,1,"africa:alg:tizi ouzou",NA,"kmccarthy",NA,288700
NA,"bujumbura-mairie",NA,NA,9,289559,1,"africa:buu:bujumbura-mairie",NA,"kmccarthy",NA,288542
NA,"bujumbura-rural",NA,NA,9,289558,1,"africa:buu:bujumbura-rural",NA,"kmccarthy",NA,288542
NA,"extreme-nord",NA,NA,9,289776,1,"africa:cae:extreme-nord",NA,"kmccarthy",NA,288547
NA,"nord-ouest",NA,NA,9,289785,1,"africa:cae:nord-ouest",NA,"kmccarthy",NA,288547
NA,"sud-ouest",NA,NA,9,289794,1,"africa:cae:sud-ouest",NA,"kmccarthy",NA,288547
NA,"kasai occidental",NA,NA,9,289529,1,"africa:cod:kasai occidental",NA,"kmccarthy",NA,288528
NA,"kasai oriental",NA,NA,9,288756,1,"africa:cod:kasai oriental",NA,"kmccarthy",NA,288528
NA,"nord kivu",NA,NA,9,289705,1,"africa:cod:nord kivu",NA,"kmccarthy",NA,288528
NA,"sud kivu",NA,NA,9,290938,1,"africa:cod:sud kivu",NA,"kmccarthy",NA,288528
NA,"centro sur",NA,NA,9,290116,1,"africa:eqg:centro sur",NA,"kmccarthy",NA,288701
NA,"kie ntem",NA,NA,9,290115,1,"africa:eqg:kie ntem",NA,"kmccarthy",NA,288701
NA,"wele nzas",NA,NA,9,290112,1,"africa:eqg:wele nzas",NA,"kmccarthy",NA,288701
NA,"gash barka",NA,NA,9,289970,1,"africa:eri:gash barka",NA,"kmccarthy",NA,288557
NA,"moyen ogooue",NA,NA,9,290075,1,"africa:gab:moyen ogooue",NA,"kmccarthy",NA,288563
NA,"thaba-tseka",NA,NA,9,290503,1,"africa:les:thaba-tseka",NA,"kmccarthy",NA,288646
NA,"north western",NA,NA,9,289406,1,"africa:zam:north western",NA,"kmccarthy",NA,288655
